track_name,artist_name,artist_pop,artist_genres,album,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre_score,track_pop
You Right,335,88,"['dance pop', 'pop']",Planet Her,0.828,0.621,-6.414,0.0565,0.0164,0.00233,0.0845,0.436,128.986,186173,4,836.0,85
Wild Side (feat. Cardi B),864,68,"['dance pop', 'pop', 'post-teen pop', 'r&b', 'urban contemporary']",Wild Side (feat. Cardi B),0.74,0.576,-6.744,0.146,0.0249,0.0,0.104,0.315,110.095,209476,4,1038.0,7
Peaches (feat. Daniel Caesar & Giveon),619,90,"['canadian pop', 'pop']",Justice,0.677,0.696,-6.181,0.119,0.321,0.0,0.42,0.464,90.03,198082,4,584.0,87
Chicken Lemon Rice,939,42,['zurich indie'],damnshestamil,0.516,0.895,-5.77,0.0919,0.000376,0.54,0.492,0.694,199.923,153019,4,3.0,38
LALA (Unlocked) (feat. Swae Lee),57,76,"['hip pop', 'neo soul', 'pop', 'r&b', 'urban contemporary']",LALA (Unlocked) (feat. Swae Lee),0.615,0.56,-4.938,0.184,0.0889,0.000114,0.314,0.33,139.441,266937,4,658.0,48
Good Love 2.0,939,42,['zurich indie'],damnshestamil,0.782,0.568,-4.75,0.0756,0.0453,0.000666,0.399,0.516,106.463,174063,4,3.0,44
Skate,211,86,"['dance pop', 'pop']",Skate,0.708,0.598,-8.365,0.0291,0.037,0.0,0.17,0.698,112.027,203123,4,836.0,41
Come Through (feat. Chris Brown),469,74,"['alternative r&b', 'dance pop', 'pop', 'r&b']",Come Through (feat. Chris Brown),0.615,0.422,-8.019,0.0504,0.604,0.0,0.112,0.185,135.859,214094,5,901.0,67
Just For Me (with SZA) - Space Jam: A New Legacy,1004,70,"['melodic rap', 'pop rap', 'rap', 'slap house']",Just For Me (Space Jam: A New Legacy),0.699,0.689,-4.336,0.0581,0.289,1.62e-05,0.238,0.599,98.95,217395,4,120.0,61
At My Worst (Nikhita Gandhi Remix),921,70,"['bedroom soul', 'chill r&b', 'pop']",At My Worst (Nikhita Gandhi Remix),0.798,0.415,-5.877,0.0403,0.753,0.0,0.165,0.566,91.927,169128,4,552.0,37
F&MU,652,75,"['alternative r&b', 'dance pop', 'pop', 'pop rap', 'r&b']",F&MU,0.717,0.597,-4.465,0.0838,0.383,0.0,0.14,0.44,77.048,134853,4,960.0,0
